course_id,title,category,difficulty,skills,description,duration_hours,rating
106,Hands-on React Native,Mobile Development,Beginner,"mobile UI patterns, Flutter, React Native, Swift","This course on Hands-on React Native covers mobile UI patterns, Flutter, React Native, Swift. Designed for beginner learners aiming to build practical, job-ready skills in mobile development. Includes hands-on projects and real-world case studies.",15,3.9
107,Advanced Flutter,Mobile Development,Advanced,"offline storage, mobile UI patterns, app store deployment, Flutter","This course on Advanced Flutter covers offline storage, mobile UI patterns, app store deployment, Flutter. Designed for advanced learners aiming to build practical, job-ready skills in mobile development. Includes hands-on projects and real-world case studies.",30,4.5
108,Building Projects with Swift,Mobile Development,Beginner,"offline storage, Kotlin, React Native, mobile UI patterns","This course on Building Projects with Swift covers offline storage, Kotlin, React Native, mobile UI patterns. Designed for beginner learners aiming to build practical, job-ready skills in mobile development. Includes hands-on projects and real-world case studies.",8,3.8
109,mobile UI patterns Bootcamp,Mobile Development,Advanced,"offline storage, React Native, Flutter, app store deployment","This course on mobile UI patterns Bootcamp covers offline storage, React Native, Flutter, app store deployment. Designed for advanced learners aiming to build practical, job-ready skills in mobile development. Includes hands-on projects and real-world case studies.",8,4.1
110,Mastering Swift,Mobile Development,Beginner,"Swift, React Native, app store deployment, offline storage","This course on Mastering Swift covers Swift, React Native, app store deployment, offline storage. Designed for beginner learners aiming to build practical, job-ready skills in mobile development. Includes hands-on projects and real-world case studies.",20,4.9
111,offline storage Fundamentals,Mobile Development,Beginner,"React Native, Flutter, Swift, mobile UI patterns","This course on offline storage Fundamentals covers React Native, Flutter, Swift, mobile UI patterns. Designed for beginner learners aiming to build practical, job-ready skills in mobile development. Includes hands-on projects and real-world case studies.",8,3.7
112,offline storage Bootcamp,Mobile Development,Advanced,"offline storage, Flutter, mobile UI patterns, React Native","This course on offline storage Bootcamp covers offline storage, Flutter, mobile UI patterns, React Native. Designed for advanced learners aiming to build practical, job-ready skills in mobile development. Includes hands-on projects and real-world case studies.",10,3.6
113,Complete Guide to mobile UI patterns,Mobile Development,Advanced,"offline storage, React Native, app store deployment, Flutter","This course on Complete Guide to mobile UI patterns covers offline storage, React Native, app store deployment, Flutter. Designed for advanced learners aiming to build practical, job-ready skills in mobile development. Includes hands-on projects and real-world case studies.",6,3.9
114,Kotlin in Practice,Mobile Development,Intermediate,"app store deployment, React Native, Flutter, mobile UI patterns","This course on Kotlin in Practice covers app store deployment, React Native, Flutter, mobile UI patterns. Designed for intermediate learners aiming to build practical, job-ready skills in mobile development. Includes hands-on projects and real-world case studies.",20,4.4
115,Kotlin for Beginners,Mobile Development,Intermediate,"mobile UI patterns, Flutter, offline storage, React Native","This course on Kotlin for Beginners covers mobile UI patterns, Flutter, offline storage, React Native. Designed for intermediate learners aiming to build practical, job-ready skills in mobile development. Includes hands-on projects and real-world case studies.",4,3.8
116,Mastering offline storage,Mobile Development,Intermediate,"Flutter, app store deployment, Kotlin, React Native","This course on Mastering offline storage covers Flutter, app store deployment, Kotlin, React Native. Designed for intermediate learners aiming to build practical, job-ready skills in mobile development. Includes hands-on projects and real-world case studies.",20,3.9
117,app store deployment in Practice,Mobile Development,Intermediate,"offline storage, React Native, app store deployment, Kotlin","This course on app store deployment in Practice covers offline storage, React Native, app store deployment, Kotlin. Designed for intermediate learners aiming to build practical, job-ready skills in mobile development. Includes hands-on projects and real-world case studies.",10,4.3
118,Advanced React Native,Mobile Development,Advanced,"mobile UI patterns, app store deployment, Kotlin, Flutter","This course on Advanced React Native covers mobile UI patterns, app store deployment, Kotlin, Flutter. Designed for advanced learners aiming to build practical, job-ready skills in mobile development. Includes hands-on projects and real-world case studies.",8,4.7
119,offline storage Bootcamp,Mobile Development,Intermediate,"offline storage, mobile UI patterns, Swift, Flutter","This course on offline storage Bootcamp covers offline storage, mobile UI patterns, Swift, Flutter. Designed for intermediate learners aiming to build practical, job-ready skills in mobile development. Includes hands-on projects and real-world case studies.",8,4.6
